,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Current Description
271,thunder bay,CA,48.4001,-89.3168,30.06,80,83,broken clouds
272,kununurra,AU,-15.7667,128.7333,75.18,94,26,scattered clouds
273,barreiras,BR,-12.1528,-44.99,78.8,83,100,moderate rain
274,hilo,US,19.7297,-155.09,77.29,92,100,heavy intensity rain
275,gelemso,ET,8.8167,40.5167,65.86,75,100,light rain
276,shenjiamen,CN,29.9576,122.298,56.1,69,100,overcast clouds
277,port macquarie,AU,-31.4333,152.9167,57.88,92,16,few clouds
278,clyde river,CA,70.4692,-68.5914,-5.1,88,100,overcast clouds
279,kalmar,SE,56.6616,16.3616,41.97,93,47,scattered clouds
280,rio gallegos,AR,-51.6226,-69.2181,60.85,41,0,clear sky
281,requena,ES,39.4883,-1.1004,54.52,66,100,overcast clouds
282,tadine,NC,-21.55,167.8833,76.32,78,100,overcast clouds
283,yerbogachen,RU,61.2767,108.0108,39.06,91,100,light rain
284,dawlatabad,AF,36.4141,64.9053,69.78,45,100,overcast clouds
285,isabela,PH,6.7085,121.9711,78.87,85,99,overcast clouds
286,manta,EC,-0.95,-80.7333,87.58,62,40,scattered clouds
287,khani,GE,41.9563,42.9566,60.37,68,61,broken clouds
288,maceio,BR,-9.6658,-35.7353,85.44,70,40,scattered clouds
289,meulaboh,ID,4.1363,96.1285,78.66,86,100,overcast clouds
290,vestmanna,FO,62.1564,-7.1664,45.52,100,100,overcast clouds
291,ribeira grande,PT,38.5167,-28.7,61.2,63,20,few clouds
292,nova prata,BR,-28.7839,-51.61,70.29,47,99,overcast clouds
293,bouna,CI,9.2667,-3.0,86.9,42,100,light rain
294,kutina,HR,45.475,16.7819,40.53,65,73,broken clouds
295,fethiye,TR,36.6217,29.1164,64.27,42,100,overcast clouds
296,mogadishu,SO,2.0371,45.3438,83.23,78,100,overcast clouds
297,matongo,TZ,-2.3833,34.0833,67.98,82,100,light rain
298,sitka,US,57.0531,-135.33,46.29,49,40,scattered clouds
299,port-gentil,GA,-0.7193,8.7815,80.56,81,75,thunderstorm
300,chiang klang,TH,19.2938,100.8617,76.14,80,14,light rain
301,pangoa,PE,-12.1167,-73.0,81.21,58,46,scattered clouds
302,muzhi,RU,65.3667,64.6667,12.47,85,31,scattered clouds
303,codrington,AU,-38.2667,141.9667,58.33,92,100,overcast clouds
304,snasa,NO,64.2457,12.3778,49.41,98,97,overcast clouds
305,abha,SA,18.2164,42.5053,64.65,42,40,scattered clouds
306,ifakara,TZ,-8.1333,36.6833,71.69,96,100,light rain
307,zinacantan,MX,16.75,-92.7,73.2,16,2,clear sky
308,bathsheba,BB,13.2167,-59.5167,83.01,65,75,broken clouds
309,tiksi,RU,71.6872,128.8694,-9.72,99,75,broken clouds
310,kaya,BF,13.0917,-1.0844,92.19,10,95,overcast clouds
311,ballina,AU,-28.8667,153.5667,64.02,99,94,overcast clouds
312,fort frances,CA,48.5999,-93.4003,32.22,72,75,broken clouds
313,fushun,CN,41.8558,123.9233,49.71,34,100,overcast clouds
314,butaritari,KI,3.0707,172.7902,81.25,74,19,few clouds
315,lagoa,PT,39.05,-27.9833,57.31,68,16,few clouds
316,beringovskiy,RU,63.05,179.3167,29.37,97,100,snow
317,novouzensk,RU,50.4592,48.1431,55.09,67,100,overcast clouds
318,lavrentiya,RU,65.5833,-171.0,29.03,96,100,snow
319,cameta,BR,-2.2444,-49.4958,84.43,69,100,light rain
320,port keats,AU,-14.25,129.55,78.91,78,10,clear sky
321,clarence town,AU,-32.5833,151.7833,61.95,97,19,few clouds
322,lianran,CN,24.9227,102.485,56.61,83,64,broken clouds
323,merrill,US,45.1805,-89.6835,43.57,49,0,clear sky
324,north vanlaiphai,IN,23.1333,93.0667,57.67,98,49,scattered clouds
325,sistranda,NO,63.7256,8.834,48.16,76,18,few clouds
326,fortuna,US,40.5982,-124.1573,55.92,69,0,clear sky
327,komsomolskiy,UZ,40.4272,71.7189,72.16,22,10,clear sky
328,trairi,BR,-3.2778,-39.2689,82.72,77,100,overcast clouds
329,maracas,BR,-13.4411,-40.4308,68.31,85,100,moderate rain
330,coos bay,US,43.3665,-124.2179,53.31,77,0,clear sky
331,huangchuan,CN,32.1272,115.0394,54.21,77,100,overcast clouds
332,talaya,RU,61.3833,152.75,0.01,100,100,overcast clouds
333,teguise,ES,29.0605,-13.564,73.62,47,100,overcast clouds
334,ostrovnoy,RU,68.0531,39.5131,33.64,91,100,overcast clouds
335,santa marta,CO,11.2408,-74.199,83.89,73,100,overcast clouds
336,berdigestyakh,RU,62.0989,126.6992,21.09,87,100,overcast clouds
337,maragogi,BR,-9.0122,-35.2225,82.15,76,48,scattered clouds
338,kralendijk,BQ,12.15,-68.2667,82.38,74,75,broken clouds
339,cartagena,CO,10.3997,-75.5144,87.42,66,40,scattered clouds
340,quatre cocos,MU,-20.2078,57.7625,77.09,89,30,moderate rain
341,nalut,LY,30.3333,10.85,65.46,28,0,clear sky
342,oranjemund,NA,-28.55,16.4333,62.13,69,0,clear sky
343,marquette,US,46.5333,-87.6335,38.77,67,95,overcast clouds
344,mount isa,AU,-20.7333,139.5,60.57,55,5,light rain
345,vestmannaeyjar,IS,63.4427,-20.2734,43.63,69,34,scattered clouds
346,lhokseumawe,ID,5.1801,97.1507,78.3,82,100,overcast clouds
347,esmeraldas,BR,-19.7625,-44.3139,79.66,45,96,overcast clouds
348,nome,US,64.5011,-165.4064,29.1,93,100,light snow
349,tigil,RU,57.8,158.6667,15.73,97,100,overcast clouds
350,parfino,RU,57.9731,31.6481,34.99,80,97,overcast clouds
351,nizhniy baskunchak,RU,48.2198,46.8311,61.59,48,100,overcast clouds
352,panama city,PA,8.9936,-79.5197,91.38,82,75,broken clouds
353,chacabuco,AR,-34.6417,-60.4739,73.81,35,76,light rain
354,nueva loja,EC,0.0847,-76.8828,80.62,78,75,broken clouds
355,sept-iles,CA,50.2001,-66.3821,38.05,83,100,overcast clouds
356,svetlaya,RU,46.5389,138.3297,34.43,70,2,clear sky
357,nyurba,RU,63.2842,118.3319,33.58,98,100,light snow
358,santo antonio do ica,BR,-3.1022,-67.9397,83.35,84,53,broken clouds
359,zhezkazgan,KZ,47.8043,67.7144,60.87,52,100,overcast clouds
360,baykit,RU,61.67,96.37,28.94,84,95,overcast clouds
361,pangody,RU,65.85,74.4859,13.69,93,100,overcast clouds
362,tilichiki,RU,60.4667,166.1,12.78,96,95,overcast clouds
363,zabol,AF,32.25,67.25,63.45,44,100,overcast clouds
364,portland,US,45.5234,-122.6762,56.61,53,75,broken clouds
365,praia da vitoria,PT,38.7333,-27.0667,62.76,69,9,clear sky
366,touros,BR,-5.1989,-35.4608,84.07,66,95,overcast clouds
367,lang suan,TH,9.9456,99.0785,79.23,85,100,overcast clouds
368,ust-ordynskiy,RU,52.805,104.7508,43.32,65,65,broken clouds
369,ulaangom,MN,49.9811,92.0667,42.13,34,2,clear sky
370,dargaville,NZ,-35.9333,173.8833,63.37,93,100,moderate rain
371,balabac,PH,7.9868,117.0645,81.05,80,73,broken clouds
372,aljezur,PT,37.3191,-8.8033,60.53,84,100,overcast clouds
373,takoradi,GH,4.8845,-1.7554,79.63,85,99,overcast clouds
374,sorong,ID,-0.8833,131.25,82.04,79,6,clear sky
375,khandyga,RU,62.6667,135.6,5.41,98,99,overcast clouds
376,alta floresta,BR,-9.8756,-56.0861,80.67,83,88,overcast clouds
377,taltal,CL,-25.4,-70.4833,65.88,70,21,few clouds
378,flinders,AU,-34.5833,150.8552,62.38,85,99,overcast clouds
379,honningsvag,NO,70.9821,25.9704,42.55,87,100,light intensity drizzle
380,arandis,NA,-22.4167,14.9667,72.45,36,4,clear sky
381,rach gia,VN,10.0167,105.0833,81.16,82,100,overcast clouds
382,yerofey pavlovich,RU,53.9667,121.9667,27.28,57,100,overcast clouds
383,sosua,DO,19.7667,-70.5167,87.78,84,55,broken clouds
384,adrar,MR,20.5022,-10.0711,86.49,10,7,clear sky
385,el higo,MX,21.7667,-98.4667,99.07,32,98,overcast clouds
386,lorengau,PG,-2.0226,147.2712,81.27,81,41,scattered clouds
387,ust-nera,RU,64.5667,143.2,0.64,100,96,overcast clouds
388,lasa,IT,46.6166,10.7002,39.61,84,37,scattered clouds
389,esperance,AU,-33.8667,121.9,60.1,63,80,broken clouds
390,woodward,US,36.4337,-99.3904,67.23,39,0,clear sky
391,krasnoselkup,RU,65.7,82.4667,4.26,95,75,broken clouds
392,tablas,PH,6.6292,122.1747,79.02,82,99,overcast clouds
393,souillac,MU,-20.5167,57.5167,77.41,89,80,light rain
394,codo,BR,-4.4553,-43.8856,82.74,88,100,overcast clouds
395,baley,RU,51.6,116.6333,31.73,83,100,overcast clouds
396,angatuba,BR,-23.4897,-48.4128,66.99,70,84,broken clouds
397,ternate,ID,0.8,127.4,80.29,82,41,light rain
398,gallup,US,35.5281,-108.7426,66.96,16,0,clear sky
