City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
585,isla mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
586,le vauclin,MQ,84.25,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
588,olinda,BR,85.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
590,alyangula,AU,80.71,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
592,bennettsville,US,84.04,scattered clouds,34.6174,-79.6848,Quality Inn
595,salinopolis,BR,80.98,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
597,yaring,TH,80.42,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
599,saint-pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
600,bonthe,SL,79.59,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
601,pelotas,BR,71.85,broken clouds,-31.7719,-52.3425,Hotéis Jacques Georges Tower
605,pangkalanbuun,ID,75.2,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
606,la libertad,EC,73.99,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
607,omboue,GA,79.05,overcast clouds,-1.5746,9.2618,Hotel Olako
610,port moresby,PG,76.6,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
611,saint george,US,78.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
612,biak,ID,75.63,broken clouds,-0.9131,122.8766,Penginapan Kim
615,baturaja,ID,74.05,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
621,ixtapa,MX,79.83,scattered clouds,20.7,-105.2,hotel la terminal
628,kodoli,IN,76.03,scattered clouds,16.8833,74.2,Hotel Varekar
630,puerto carreno,CO,85.62,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
634,damaturu,NG,85.42,light rain,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
640,catamarca,AR,80.78,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
641,foso,GH,78.55,overcast clouds,5.7012,-1.2866,Pristina Cottage
646,arlit,NE,82.38,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
649,davila,PH,77.45,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
650,sawakin,SD,82.67,few clouds,19.1059,37.3321,فندق الدويم
655,kerema,PG,77.56,scattered clouds,-7.9631,145.7785,Frena Lodge
656,bell ville,AR,73.8,clear sky,-32.6259,-62.6887,Hotel Central
659,manokwari,ID,78.51,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
662,narwana,IN,84.85,few clouds,29.6167,76.1167,Dth Service Narwana
663,daru,PG,78.82,overcast clouds,-9.0763,143.2092,Daru Lodge
664,sao gabriel da cachoeira,BR,84.45,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
667,baghdad,IQ,71.51,scattered clouds,33.3406,44.4009,Baghdad Hotel
669,pagudpud,PH,75.81,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
671,neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
672,port hedland,AU,78.85,few clouds,-20.3167,118.5667,The Esplanade Hotel
674,odweyne,SO,76.53,overcast clouds,9.4092,45.064,Eng Hiirey House
676,kuantan,MY,77.9,broken clouds,3.8077,103.326,Hotel Sentral Kuantan
677,pokhara,NP,72.9,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
678,manggar,ID,81.0,broken clouds,-2.8833,108.2667,Guest Hotel
682,dipalpur,PK,85.12,few clouds,30.6709,73.6529,Kalay Khan Nashta کالے خان ناشتہ
686,nirmali,IN,78.58,clear sky,26.3167,86.5833,Baidyanath Sharma Lodge
688,gat,IL,86.68,clear sky,31.61,34.7642,OlusHome
